Date,X2,Berri1,Boyer,CSC,Dame,Parc,PierDup,Rachel,Ren,Urbain,University,Viger
16/12/2016,00:00:00,271,159,127,66,138,8,NA,123,33,118,33
17/12/2016,00:00:00,127,97,14,8,45,4,NA,40,9,29,12
18/12/2016,00:00:00,93,69,6,22,24,6,NA,29,6,25,6
19/12/2016,00:00:00,384,162,53,88,169,5,NA,107,1,124,25
20/12/2016,00:00:00,460,160,175,93,227,4,NA,143,17,189,46
21/12/2016,00:00:00,461,125,223,127,266,11,NA,186,36,190,64
22/12/2016,00:00:00,427,101,180,79,204,16,NA,167,37,162,39
23/12/2016,00:00:00,274,87,104,56,154,14,NA,128,61,134,26
24/12/2016,00:00:00,78,41,28,13,30,5,NA,22,13,31,4
25/12/2016,00:00:00,44,24,2,3,11,1,NA,11,9,10,7
26/12/2016,00:00:00,53,14,12,11,4,2,NA,21,9,17,6
27/12/2016,00:00:00,137,42,30,26,33,8,NA,59,5,40,11
28/12/2016,00:00:00,181,55,70,44,68,4,NA,85,16,76,19
29/12/2016,00:00:00,120,33,35,18,41,8,NA,53,6,38,14
30/12/2016,00:00:00,120,59,2,29,53,3,NA,55,0,68,3
31/12/2016,00:00:00,52,26,135,11,12,6,NA,16,17,16,3
