Berri1,Boyer,CSC,Dame,Parc,PierDup,Ren,Urbain,University,Viger
4160,4634,1737,2041,1891,3965,2347,1302,1764,270
6499,5120,3030,2879,3916,2580,3487,2392,4315,675
5423,4238,2636,2329,3502,1948,2946,2003,3869,607
6445,5194,3034,2830,4077,3001,3573,2467,4348,760
5036,3803,2083,2075,2994,1592,2623,1826,3496,574
4733,4845,1776,1994,2249,2958,2483,1645,1951,127
3367,3283,1317,1200,1862,1737,1514,1193,1723,296
5483,4186,2487,2087,3278,1464,2686,1900,3639,583
6561,5307,3159,3048,4152,2365,3643,2865,4784,579
7168,5658,3317,3053,4314,2833,3757,3458,5155,720
3631,2571,1727,1511,2405,777,1850,1985,2900,421
6957,6345,3473,3117,5290,2299,3748,2551,4816,759
5285,5758,1966,2004,2428,2436,2434,1724,2031,363
2408,2024,1120,1783,2053,292,1780,1182,1162,99
3898,2998,1953,1413,2735,708,1918,1643,3291,424
4699,3539,2360,1915,3153,865,2432,1886,3945,570
4834,3341,2306,1910,3102,714,2362,2047,4102,557
3289,2310,1704,1169,2383,292,1479,1599,2745,367
5641,4413,2287,2123,3474,1043,2759,2394,3764,605
3437,2784,1152,954,1553,657,1243,1465,1395,276
1935,1709,738,560,1030,456,728,934,959,134
4809,4000,2511,2229,3476,814,2670,2177,3876,656
6643,5294,3293,3005,4327,1611,3419,2579,4729,712
7002,5616,3193,3151,4345,1804,3520,2619,4752,743
7544,5563,3226,2995,4447,1709,3543,2671,4661,700
6888,5290,2662,2758,4014,1770,3138,2529,4219,645
5114,4814,1702,2174,2148,3012,2326,1755,2135,311
3917,4112,1533,1707,2002,2516,1801,1324,1744,319
5654,4601,2730,2546,3665,2186,2896,1904,4196,688
6362,5206,3043,2877,4058,2636,3305,2255,4565,731
4085,3269,2064,1817,2663,1465,2221,1593,3088,474
6027,5126,2429,2597,3612,2466,3040,2269,4305,686
4512,4579,1408,1868,1753,3795,2311,1381,1713,396
3961,3959,1255,1590,1565,2730,1863,1169,1566,349
3493,3722,1363,1713,1843,2525,1931,1189,1730,309
2826,2536,1494,1231,1918,1042,1512,1202,2353,379
3570,2741,1511,1307,2378,887,1697,1412,2952,470
3966,2751,1695,471,2405,922,1787,1591,3001,452
6417,5329,2538,1942,3742,2777,3225,2361,4234,651
3741,3227,1225,1536,1504,2657,1842,1256,1338,292
3222,2488,1033,955,1406,1035,1464,1255,1345,255
4746,4151,1388,1947,2110,3683,2282,1579,1788,348
6219,4898,2670,2848,3816,2727,3338,2317,4301,713
7189,5473,2857,3055,4038,3031,3662,2531,4895,833
6852,4925,2639,2817,3838,2767,3577,2387,4679,709
5520,4085,2076,1959,3326,1248,2437,2094,3904,536
5828,4295,2089,2416,3303,2272,2876,2111,4013,578
1392,1240,494,428,700,296,630,578,708,124
1812,1885,671,525,962,641,655,847,996,154
6361,5018,2583,3001,3776,3244,3584,2223,5080,718
6782,5296,2818,2976,3938,3221,3508,1722,4782,720
6152,4677,2467,2641,3505,2359,3100,1332,4349,681
5155,3591,1901,1963,3015,1377,2428,1450,3634,519
